"Player","Rating","Age","dateranking","ranking"
"Garry Kasparov","2850","37y9m","200101",1
"Viswanathan Anand","2820","31y1m","200101",2
"Vladimir Kramnik","2815","25y7m","200101",3
"Peter Leko","2768","21y4m","200101",4
"Alexander Morozevich","2757","23y6m","200101",5
"Alexei Shirov","2750","28y6m","200101",6
"Vassily Ivanchuk","2749","31y10m","200101",7
"Michael Adams","2743","29y2m","200101",8
"Evgeny Bareev","2739","34y2m","200101",9
"Boris Gelfand","2738","32y7m","200101",10
"Peter Svidler","2734","24y7m","200101",11
"Veselin Topalov","2723","25y10m","200101",12
"Mikhail Gurevich","2709","41y11m","200101",13
"Vladimir Akopian","2700","29y1m","200101",14
"Ruslan Ponomariov","2699","17y3m","200101",15
"Alexander Khalifman","2696","35y0m","200101",16
"Nigel Short","2695","35y7m","200101",17
"Alexey Dreev","2694","32y0m","200101",18
"Kiril Georgiev","2693","35y2m","200101",19
"Ilia Smirin","2693","33y0m","200101",19
"Rustam Kasimdzhanov","2690","21y1m","200101",21
"Michal Krasenkow","2689","37y2m","200101",22
"Predrag Nikolic","2688","40y4m","200101",23
"Judit Polgar","2686","24y6m","200101",24
"Vladislav Tkachiev","2682","27y2m","200101",25
"Loek van Wely","2681","28y3m","200101",26
"Anatoly Karpov","2680","49y8m","200101",27
"Konstantin Sakaev","2674","26y9m","200101",28
"Zurab Azmaiparashvili","2673","40y10m","200101",29
"Alexander Grischuk","2671","17y3m","200101",30
"Alexander Onischuk","2670","25y4m","200101",31
"Vadim Zvjaginsev","2669","24y5m","200101",32
"Sergei Movsesian","2666","22y2m","200101",33
"Alexander Beliavsky","2665","47y1m","200101",34
"Sergei Rublevsky","2665","26y3m","200101",34
"Zoltan Almasi","2664","24y5m","200101",36
"Viktor Korchnoi","2663","69y10m","200101",37
"Viktor Bologan","2662","29y1m","200101",38
"Matthew Sadler","2661","26y8m","200101",39
"Jeroen Piket","2659","32y0m","200101",40
"Joel Lautier","2658","27y9m","200101",41
"Ye Jiangchuan","2658","40y2m","200101",41
"Igor Khenkin","2657","32y10m","200101",43
"Ivan Sokolov","2656","32y7m","200101",44
"Jan Timman","2654","49y1m","200101",45
"Artur Jussupow","2653","40y11m","200101",46
"Vadim Milov","2653","28y5m","200101",46
"Andrei Kharlov","2648","32y2m","200101",48
"Rafael Vaganian","2647","49y3m","200101",49
"Sergey Dolmatov","2647","41y11m","200101",49
"Boris Avrukh","2647","23y0m","200101",49
"Rustem Dautov","2646","35y2m","200101",52
"Vladimir Malakhov","2642","20y2m","200101",53
"Curt Hansen","2642","36y4m","200101",53
"Zurab Sturua","2641","41y7m","200101",55
"Ulf Andersson","2641","49y7m","200101",55
"Peng Xiaomin","2640","27y9m","200101",57
"Rafael Leitao","2639","21y1m","200101",58
"Zhang Zhong","2638","22y4m","200101",59
"Evgeny Vladimirov","2637","44y0m","200101",60
"Alexander Lastin","2636","24y3m","200101",61
"Boris Gulko","2635","53y11m","200101",62
"Yasser Seirawan","2634","40y10m","200101",63
"Sergei Tiviakov","2633","27y11m","200101",64
"Alexander Graf","2633","38y5m","200101",64
"Vladimir Epishin","2632","35y6m","200101",66
"Jonathan Speelman","2632","44y3m","200101",66
"Sergei Shipov","2632","34y9m","200101",66
"Alexey Kuzmin","2632","37y10m","200101",66
"Aleksej Aleksandrov","2630","27y8m","200101",70
"Iosif Dorfman","2630","48y8m","200101",70
"Christopher Lutz","2630","29y11m","200101",70
"Etienne Bacrot","2629","18y0m","200101",73
"Lev Psakhis","2629","42y2m","200101",73
"Smbat Lputian","2628","42y11m","200101",75
"Alexander Chernin","2626","40y10m","200101",76
"Robert H<fc>bner","2623","52y2m","200101",77
"Igor Novikov","2623","38y8m","200101",77
"Jaan Ehlvest","2623","38y3m","200101",77
"Pavel Tregubov","2622","29y1m","200101",80
"Julian Hodgson","2622","37y6m","200101",80
"Zdenko Koul","2621","34y8m","200101",82
"Alexei Fedorov","2620","28y4m","200101",83
"Ioannis Papaioannou","2619","24y9m","200101",84
"Alexander Fominyh","2619","41y7m","200101",84
"Giorgi Giorgadze","2618","36y3m","200101",86
"Zbynek Hracek","2616","30y4m","200101",87
"Alex Yermolinsky","2616","42y9m","200101",87
"Emil Sutovsky","2616","23y4m","200101",87
"Andrey Shariyazdanov","2615","24y6m","200101",90
"Alexander Shabalov","2614","33y4m","200101",91
"Xu Jun","2614","38y4m","200101",91
"Anthony Miles","2613","45y9m","200101",93
"Joel Benjamin","2613","36y10m","200101",93
"Vitali Golod","2612","29y7m","200101",95
"Valerij Filippov","2611","25y2m","200101",96
"Yury Balashov","2610","51y10m","200101",97
"Mladen Palac","2609","29y11m","200101",98
"Viacheslav Eingorn","2609","44y2m","200101",98
"Konstantin Landa","2609","28y8m","200101",98
"Garry Kasparov","2854","37y10m","200102",1
"Viswanathan Anand","2824","31y2m","200102",2
"Vladimir Kramnik","2817","25y8m","200102",3
"Peter Leko","2764","21y5m","200102",4
"Alexander Morozevich","2762","23y7m","200102",5
"Vassily Ivanchuk","2757","31y11m","200102",6
"Alexei Shirov","2753","28y7m","200102",7
"Michael Adams","2746","29y3m","200102",8
"Evgeny Bareev","2739","34y3m","200102",9
"Boris Gelfand","2737","32y8m","200102",10
"Peter Svidler","2732","24y8m","200102",11
"Veselin Topalov","2718","25y11m","200102",12
"Mikhail Gurevich","2706","42y0m","200102",13
"Nigel Short","2698","35y8m","200102",14
"Ruslan Ponomariov","2698","17y4m","200102",14
"Alexander Khalifman","2696","35y1m","200102",16
"Vladimir Akopian","2695","29y2m","200102",17
"Alexey Dreev","2693","32y1m","200102",18
"Kiril Georgiev","2692","35y3m","200102",19
"Rustam Kasimdzhanov","2692","21y2m","200102",19
"Ilia Smirin","2691","33y1m","200102",21
"Predrag Nikolic","2686","40y5m","200102",22
"Judit Polgar","2686","24y7m","200102",22
"Michal Krasenkow","2684","37y3m","200102",24
"Vladislav Tkachiev","2680","27y3m","200102",25
"Loek van Wely","2679","28y4m","200102",26
"Anatoly Karpov","2678","49y9m","200102",27
"Konstantin Sakaev","2674","26y10m","200102",28
"Viktor Korchnoi","2672","69y11m","200102",29
"Zurab Azmaiparashvili","2671","40y11m","200102",30
"Alexander Grischuk","2669","17y4m","200102",31
"Alexander Onischuk","2668","25y5m","200102",32
"Vadim Zvjaginsev","2665","24y6m","200102",33
"Alexander Beliavsky","2665","47y2m","200102",33
"Viktor Bologan","2665","29y2m","200102",33
"Sergei Movsesian","2663","22y3m","200102",36
"Sergei Rublevsky","2663","26y4m","200102",36
"Zoltan Almasi","2662","24y6m","200102",38
"Matthew Sadler","2661","26y9m","200102",39
"Joel Lautier","2658","27y10m","200102",40
"Ivan Sokolov","2657","32y8m","200102",41
"Zhang Zhong","2656","22y5m","200102",42
"Jeroen Piket","2656","32y1m","200102",42
"Ye Jiangchuan","2655","40y3m","200102",44
"Igor Khenkin","2654","32y11m","200102",45
"Zurab Sturua","2652","41y8m","200102",46
"Artur Jussupow","2651","41y0m","200102",47
"Vadim Milov","2650","28y6m","200102",48
"Andrei Kharlov","2649","32y3m","200102",49
"Jan Timman","2646","49y2m","200102",50
"Rafael Vaganian","2646","49y4m","200102",50
"Sergey Dolmatov","2646","42y0m","200102",50
"Rafael Leitao","2645","21y2m","200102",53
